Name,Depth (ft),Depth (m),TC_Leco (%),TOC_Leco (%),S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg HC/g rock),Tmax (°C),HI (mg HC/g TOC),OI (mg CO2/g TOC),PI,Leco_S %,Al %,Ca %,Fe %,K %,Mg %,P %,S %,Si %,Ti %,Ag ppm,As ppm,B ppm,Ba ppm,Be ppm,Bi ppm,Cd ppm,Ce ppm,Co ppm,Cr ppm,Cs ppm,Cu ppm,Dy ppm,Er ppm,Eu ppm,Ga ppm,Gd ppm,Ge ppm,Hf ppm,Ho ppm,In ppm,La ppm,Li ppm,Lu ppm,Mn ppm,Mo ppm,Nb ppm,Nd ppm,Ni ppm,Pb ppm,Pr ppm,Rb ppm,Re ppm,Sb ppm,Sc ppm,Se ppm,Sm ppm,Sn ppm,Sr ppm,Ta ppm,Tb ppm,Te ppm,Th ppm,Tl ppm,Tm ppm,U ppm,V ppm,W ppm,Y ppm,Yb ppm,Zn ppm,Zr ppm
E180601-019,591.1,180.2,11.01,5.60,0.49,31.03,0.92,415,554,16,0.02,2.49,4.88,16.6,2.66,0.9,0.54,0.06,2.41,11.7,0.27,<1,28,76,114,<5,0.3,1,61.5,11.3,44,3.7,37,3.58,1.99,1.07,13,4.39,<1,3,0.71,<0.2,31,29,0.3,225,50,21,26.6,70,12,7.05,54,0.16,2.3,8,3,5,<1,604,1,0.61,0.08,7.3,3.3,0.3,11.26,194,<1,18.3,2.1,84,121
E170504-196,591.5,180.3,3.4,2.3,0.14,10.46,0.28,412,465,12,0.01,,8.97,3.92,4.21,0.48,1.72,0.04,4,20.2,0.4,<1,56,91,85.8,<5,0.2,0.7,22.4,7.6,44,2,31,1.9,1.05,0.46,14.8,1.88,<1,9,0.31,<0.2,13,50,0.13,455,51,29.1,11.4,46,24,2.73,26,,6.1,10,6,2.1,3,746,2.1,0.29,<0.5,20,1.9,0.14,8.39,255,<1,8.2,1.1,104,253
E170504-197,593.5,180.9,11.0,4.5,0.28,24.26,0.63,415,538,14,0.01,,4.35,20,2.16,0.77,0.49,0.06,1.9,10.6,0.27,<1,19,67,107,<5,0.2,0.5,57.5,8.1,45,3.9,27,4.06,2.07,1.09,11.2,4.49,<1,3,0.6,<0.2,33.1,29,0.3,226,24,18.6,26.1,46,9,6.38,51.5,,1.7,7,<5,5,1,669,1,0.62,<0.5,6.1,1.8,0.31,10.1,133,<1,19.1,2.4,49,127
E220102-030,593.9,181.0,10.37,5.78,0.42,30.49,0.94,416,528,16,0.01,,5.12,15.5,2.42,0.95,0.53,0.05,1.8,14.2,0.33,<1,13,70,131,<5,0.3,0.4,64.9,9.3,92,4.7,35,4.11,2.05,1.09,17.8,5.25,1,4,0.8,<0.2,33.4,17,0.34,193,28,34.7,27.1,54,13,7.86,61.4,0.15,1,9,<5,4.9,3,599,1.6,0.65,<0.5,7.7,2.1,0.38,10.5,151,1,20.1,2.3,63,180
E180601-020,595.2,181.4,9.54,5.19,0.49,28.04,0.77,417,540,15,0.02,2.19,5.85,13.6,2.67,1.2,0.59,0.06,2.11,14.2,0.4,<1,19,84,168,<5,0.3,0.9,71.5,12,59,4.9,38,2.91,1.69,1.02,17,3.58,1,4,0.58,<0.2,40.5,43,0.26,215,50,45,26.3,68,13,7.63,75.6,0.1,1.5,10,4,4.5,1,603,2,0.51,0.07,9.9,2.9,0.25,10.74,208,1,15.8,1.7,99,149
E170504-198,595.5,181.5,9.6,4.5,0.36,24.77,0.70,411,553,16,0.01,,5.84,15.3,2.62,1.21,0.62,0.06,2.1,13.7,0.42,<1,18,83,178,<5,0.3,1.7,67,11,65,5.2,35,3.1,1.76,0.97,16,3.54,1,4,0.49,<0.2,39.5,47,0.26,242,47,46.1,24.7,64,13,6.6,74.7,,1.4,10,<5,4.1,1,640,2.5,0.5,<0.5,10.7,2.7,0.21,11.7,229,1,14.8,1.7,145,163
E170504-199,597.5,182.1,7.6,4.7,0.31,24.72,0.46,412,526,10,0.01,,7.64,9.13,2.94,1.49,0.74,0.05,2,17.2,0.51,1,18,104,216,<5,0.3,0.9,89.3,12.4,76,6.4,36,3.94,1.99,1.25,20.1,4.6,1,6,0.62,<0.2,53.5,65,0.3,218,28,63.4,33.2,61,17,8.97,95.5,,1.2,12,<5,5.7,2,548,3.4,0.63,<0.5,15.2,2,0.29,9.71,180,2,18.4,2.2,104,237
E180601-021,599.2,182.6,7.66,1.81,0.13,7.47,0.47,419,413,26,0.02,3.23,3.48,19.3,3.41,0.7,0.46,0.3,3.13,12.6,0.22,<1,24,58,129,<5,0.1,<0.2,127,5.6,30,1.5,18,7.18,3.87,1.97,8,8.8,<1,3,1.42,<0.2,67.8,22,0.5,391,20,15,49.4,24,8,13.34,31.3,0.04,1,6,2,9.2,<1,663,0.7,1.26,<0.05,6.3,0.9,0.51,9.82,51,<1,41.8,3.4,37,120
E170504-200,599.5,182.7,6.7,3.8,0.18,18.55,0.37,417,489,10,0.01,,7.92,9.42,2.8,1.17,0.95,0.07,2,17,0.36,<1,25,117,215,<5,0.4,0.4,46.5,8.7,57,4.3,30,2.76,1.84,0.71,18.4,3.09,1,5,0.53,<0.2,28.3,55,0.31,240,17,27.2,20.3,42,19,5.24,73,,1.4,8,<5,3.8,3,547,2.1,0.43,<0.5,14.1,1.6,0.26,4.99,114,1,15.5,2.2,72,170
E170504-201,601.5,183.3,7.3,5.5,0.30,28.71,0.47,412,522,9,0.01,,8.06,6.5,2.58,1.44,0.79,0.05,1.6,19.5,0.45,<1,14,105,203,<5,0.4,0.3,74,10.4,73,5.6,35,3.86,2.15,1.02,19.6,4.34,1,5,0.64,<0.2,42.6,61,0.33,158,15,40.6,29.9,53,15,7.79,87.1,,0.8,11,<5,5.3,3,447,2.9,0.64,<0.5,14.4,1.1,0.31,9.04,117,1,18.2,2.4,72,216
