map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev (feet),Ref,sample #,top (feet),bottom (feet),Formation,% CaCO3      (TC-TOC)*8.33,Tmax °C,S1       mgHC/g-rock,S2       mgHC/g-rock,GP  S1+S2,S3       mgCO2/g-rock,PI  S1/(S1+S2),S2/S3,LECO TOC Wt. %,TC Wt. %,HI    (S2/TOC)*100,OI     (S3/TOC)*100,(S1/TOC)*100,CRC ,LIMS ID,,,,,,
14,4903720715,Champlin Petroleum,Brady Deep Unit 31N,41.389554,-108.745356,16N,101W,2,SE SW,Sixth Principal,"7,168",KB,GRB-2021-61,"2,960","2,990",Asquith,4.91,436,0.41,5.42,5.83,0.70,0.07,8,3.82,4.41,142,18,11,CZ11641,E210901-001,,,,,,
15,4903720545,Champlin Petroleum,Brady Deep Unit 13W,41.39654,-108.75375,16N,101W,2,NW NW,Sixth Principal,"7,076",KB,GRB-2021-62,"2,340","2,350",Lewis,6.50,431,0.36,4.08,4.44,0.59,0.08,7,2.14,2.92,191,28,17,CZ10424,E210901-002,,,,,,
15,4903720545,Champlin Petroleum,Brady Deep Unit 13W,41.39654,-108.75375,16N,101W,2,NW NW,Sixth Principal,"7,076",KB,GRB-2021-63,"2,350","2,370",Asquith,7.00,432,0.28,3.29,3.57,0.61,0.08,5,1.94,2.78,170,31,14,CZ10424,E210901-003,,,,,,
15,4903720545,Champlin Petroleum,Brady Deep Unit 13W,41.39654,-108.75375,16N,101W,2,NW NW,Sixth Principal,"7,076",KB,GRB-2021-64,"2,380","2,390",Asquith,5.75,431,0.61,1.67,2.28,0.66,0.27,3,1.89,2.58,88,35,32,CZ10424,E210901-004,,,,,,
15,4903720545,Champlin Petroleum,Brady Deep Unit 13W,41.39654,-108.75375,16N,101W,2,NW NW,Sixth Principal,"7,076",KB,GRB-2021-65,"2,390","2,400",Asquith/Lewis,6.41,431,0.65,1.91,2.56,0.82,0.25,2,1.86,2.63,103,44,35,CZ10424,E210901-005,,,,,,
16,4903720588,Champlin Petroleum,Brady Deep Unit 16-W,41.383601,-108.764154,16N,101W,10,SW NE,Sixth Principal,"7,111",KB,GRB-2021-66,"2,290","2,300",Lewis,10.33,430,0.25,1.56,1.81,0.83,0.14,2,1.48,2.72,105,56,17,CZ11117,E210901-006,,,,,,
16,4903720588,Champlin Petroleum,Brady Deep Unit 16-W,41.383601,-108.764154,16N,101W,10,SW NE,Sixth Principal,"7,111",KB,GRB-2021-67,"2,300","2,310",Asquith,9.58,429,0.24,2.20,2.44,0.65,0.10,3,1.54,2.69,143,42,16,CZ11117,E210901-007,,,,,,
16,4903720588,Champlin Petroleum,Brady Deep Unit 16-W,41.383601,-108.764154,16N,101W,10,SW NE,Sixth Principal,"7,111",KB,GRB-2021-68,"2,310","2,330",Asquith,7.41,431,0.16,2.00,2.16,0.73,0.07,3,1.58,2.47,127,46,10,CZ11117,E210901-008,,,,,,
16,4903720588,Champlin Petroleum,Brady Deep Unit 16-W,41.383601,-108.764154,16N,101W,10,SW NE,Sixth Principal,"7,111",KB,GRB-2021-69,"2,330","2,340",Lewis,7.16,431,0.16,1.49,1.65,0.55,0.10,3,1.35,2.21,110,41,12,CZ11117,E210901-009,,,,,,
17,0510706031,Trend Exploration,1-6 State,40.503469,-107.412365,6N,89W,6,NE SE,Sixth Principal,"6,346",KB,GRB-2021-70,"1,750","1,780",Asquith,11.75,429,0.07,0.96,1.03,0.86,0.07,1,1.58,2.99,61,54,4,DZ15470,E210901-010,,,,,,
17,0510706031,Trend Exploration,1-6 State,40.503469,-107.412365,6N,89W,6,NE SE,Sixth Principal,"6,346",KB,GRB-2021-71,"2,140","2,170",Lewis,12.00,431,0.07,0.71,0.78,0.48,0.09,1,1,2.44,71,48,7,DZ15470,E210901-011,,,,,,
18,0510706144,Quintana Petroleum,1-22 Temple,40.46029,-107.360093,6N,89W,22,NW SE,Sixth Principal,"6,631",KB,GRB-2021-72,"1,090","1,120",Asquith,11.66,428,0.04,0.64,0.68,1.01,0.06,1,1.48,2.88,43,68,3,DZ16680,E210901-012,,,,,,
18,0510706144,Quintana Petroleum,1-22 Temple,40.46029,-107.360093,6N,89W,22,NW SE,Sixth Principal,"6,631",KB,GRB-2021-73,"1,570","1,600",Lewis,8.83,428,0.03,0.28,0.31,0.68,0.10,0,1.02,2.08,27,67,3,DZ16680,E210901-013,,,,,,
18,0510706144,Quintana Petroleum,1-22 Temple,40.46029,-107.360093,6N,89W,22,NW SE,Sixth Principal,"6,631",KB,GRB-2021-74,"1,210","1,240",Lewis,7.75,428,0.02,0.31,0.33,0.80,0.06,0,1.2,2.13,26,67,2,DZ16680,E210901-014,,,,,,
18,0510706144,Quintana Petroleum,1-22 Temple,40.46029,-107.360093,6N,89W,22,NW SE,Sixth Principal,"6,631",KB,GRB-2021-75,"1,390","1,420",Lewis,8.50,428,0.02,0.32,0.34,0.69,0.06,0,1.08,2.1,30,64,2,DZ16680,E210901-015,,,,,,
