level,group,rho,p,n,Ro_median,Ro_span
formation,LOSPE,-0.014059775667524074,0.9654088887686973,12,1.4049999999999998,0.9000000000000001
formation,OKPIKRUAK?,-0.07692307692307693,0.8121826980280591,12,2.185,3.8200000000000003
formation,ENDICOTT GP,-0.23112188659465455,0.49411635985024416,11,0.82,1.99
formation,Kingak,0.4787878787878787,0.1615229280174558,10,1.615,0.97
formation,FIRE CREEK MBR,-0.6079055436800646,0.06225488170893071,10,1.885,2.98
formation,CARBONDALE /GROUP/,0.6216120294456302,0.05503645975281994,10,0.54,0.3
formation,Unknown,0.4390243902439025,0.20431339358148445,10,0.46,0.37
formation,DAKOTA J,0.9128709291752768,0.0005898392224376347,9,0.72,0.78
formation,TERTIARY,-0.3445378151260505,0.36388943544986474,9,0.52,0.37
formation,ECHOOKA FM,-0.15,0.7000942309691419,9,2.4,3.17
formation,BLACKHAWK,0.8870370532810664,0.0014260236511493699,9,0.58,0.24
formation,CHEROKEE,0.7725393039369071,0.014674113128313068,9,0.38,0.15000000000000002
formation,RINCON,0.3504401507250709,0.3551730872273094,9,0.25,0.68
formation,Red Glacier Formation,-0.47699162299076214,0.19417917606506618,9,2.01,0.8700000000000001
formation,Gilead,-0.11904761904761905,0.7788857260523797,8,1.245,1.2999999999999998
formation,DEVONIAN?,-0.17964393928698885,0.6703442772469386,8,2.56,3.7199999999999998
formation,HUNT FORK SHALE,0.3952166664313755,0.33251710793382766,8,2.955,3.9800000000000004
formation,KEKIKTUK,-0.6666666666666669,0.07098765432098751,8,4.515000000000001,3.9699999999999998
formation,SABINE LAKE,0.7857142857142858,0.020815127253525276,8,1.5899999999999999,2.26
formation,WILLIAMS FORK,0.9221722216732094,0.0011108173578061712,8,0.75,0.8699999999999999
formation,DUGGER,0.5185580382410346,0.18794451793355402,8,0.47,0.09000000000000002
formation,Brookian,0.7142857142857144,0.07134356146753759,7,1.1,1.3399999999999999
formation,SKULL CREEK,0.8928571428571429,0.006807187408935393,7,0.7,1.1
formation,BLANKENSHIP MBR,-0.1454785934906616,0.7556330131047917,7,0.4,0.8799999999999999
formation,PEBBLE SH UNIT,0.7500000000000002,0.05218140045705776,7,1.5,1.3
formation,Kuskokwim Gp,-0.28571428571428575,0.5345092286010406,7,1.27,1.79
formation,GILES /SD/,0.5357142857142858,0.21521745567801273,7,2.18,1.3
formation,Lower Bakken,-0.2522624895547565,0.5852410907160582,7,0.81,0.68
formation,TUKTU,-0.3142857142857143,0.5440932944606414,6,0.565,0.21999999999999997
formation,MONTEREY SH,0.44136741475237473,0.3809392104771887,6,0.43,0.19
formation,BRITT,0.819688599970537,0.045837141232453256,6,0.995,0.24
formation,Mesaverde,0.6087595874350709,0.19966018946036257,6,0.59,2.97
formation,MINNELUSA /SD/ SH/,0.08571428571428573,0.8717434402332361,6,0.345,1.05
formation,Tyonek(?) Formation,0.1471224715841249,0.7809085271647664,6,0.25,0.09
formation,Chinitna Formation,0.14494275891311212,0.7841083696021082,6,0.475,0.38999999999999996
formation,SHALE WALL MBR,-0.15389675281277312,0.8048288166080632,5,0.47,0.11999999999999994
formation,REDWOOD,-0.10259783520851541,0.8695979205185651,5,0.57,0.07999999999999996
formation,KUKPOWRUK,0.8720815992723809,0.05385421772754211,5,0.87,0.18000000000000005
formation,CRETACEOUS UNCONFORMITY,-0.7,0.1881204043741873,5,0.59,0.5900000000000001
formation,KOGOSUKRUK TONGUE,0.6488856845230502,0.2361536773866406,5,0.48,0.07
formation,Ds,-0.8885233166386386,0.043924952533494,5,4.17,0.6100000000000003
formation,Boquillas Fm (Eagle Ford Shale),0.28867513459481287,0.6376180914006018,5,0.65,0.4099999999999999
state-formation,"('Alaska', 'TOROK')",0.38397925493955803,5.844125143109662e-18,470,0.655,4.52
state-formation,"('Alaska', 'NANUSHUK GP')",0.1706159296732656,0.01956233064509525,187,0.52,0.54
state-formation,"('Alaska', 'KINGAK')",-0.06485736737819403,0.3924404359925068,176,0.97,3.8499999999999996
state-formation,"('Alaska', 'LISBURNE GP')",-0.5503325743994453,2.9814468788550313e-13,150,2.13,4.739999999999999
state-formation,"('Alaska', 'PEBBLE SH')",0.263903965855659,0.003585701239886724,120,1.165,2.62
state-formation,"('Alaska', 'OKPIKRUAK')",0.33929428058780636,0.000591318525737138,99,0.81,1.9300000000000002
state-formation,"('Alaska', 'SHUBLIK FM')",0.07081296693077409,0.48837937057498126,98,1.35,4.18
state-formation,"('Alaska', 'CRETACEOUS')",0.2583194933326426,0.012911972636130125,92,0.505,1.87
state-formation,"('Alaska', 'KAYAK')",-0.44182767325117667,0.0005801685478898765,57,2.51,4.23
state-formation,"('Alaska', 'UNKNOWN')",0.2635950215711009,0.05900612687350317,52,1.935,4.4
state-formation,"('Alaska', 'SAGAVANIRKTOK')",-0.033329815617782366,0.8299389291520257,44,0.445,1.67
state-formation,"('Alaska', 'HUE SH')",0.5098919965160352,0.0005619927154984474,42,0.535,0.65
state-formation,"('Alaska', 'SADLEROCHIT GP')",-0.47340217010031044,0.00177127164187213,41,0.93,2.45
state-formation,"('Alaska', 'KINGAK SH')",0.7665358819659575,7.937445598844076e-08,35,0.94,2.77
state-formation,"('Alaska', 'SAG RIVER SD')",-0.32207688827949676,0.06322364774604199,34,0.7,2.66
state-formation,"('Alaska', 'CANNING')",0.474993135372311,0.006012089429230788,32,0.8300000000000001,1.5699999999999998
state-formation,"('Alaska', 'FORTRESS MTN')",0.10342140670714857,0.5865416273223163,30,0.65,3.8699999999999997
state-formation,"('Alaska', 'HUE SHALE')",0.4726989079563184,0.008343605537880482,30,0.755,0.94
state-formation,"('Alaska', 'COLVILLE')",0.3224498699812007,0.08801322296138399,29,0.45,0.21000000000000002
state-formation,"('Alaska', 'OTUK')",0.7839615266285099,4.884901279930737e-07,29,0.91,1.9000000000000001
state-formation,"('Alaska', 'SCHRADER BLUFF')",0.18978156172146393,0.3334073177348086,28,0.5,0.5900000000000001
state-formation,"('Alaska', 'BARROW /SD/')",0.28284587828223545,0.15284638012200308,27,0.49,0.43000000000000005
state-formation,"('Alaska', 'SEABEE')",-0.1393358115028689,0.516116841680242,24,0.515,0.25999999999999995
state-formation,"('Alaska', 'L TOROKFRT MTN')",0.3665187975631348,0.08539848299710774,23,1.22,1.05
state-formation,"('Alaska', 'PALEOCENE')",0.18337320140672694,0.41401303008350454,22,0.65,0.48
state-formation,"('Alaska', 'CORWIN')",0.3965225413166192,0.08346986649293966,20,0.64,0.30000000000000004
state-formation,"('Alaska', 'BASEMENT CMPLX')",0.29323968393327476,0.2230586422101169,19,1.29,4.51
state-formation,"('Alaska', 'KANAYUT CGL')",-0.2154331406380757,0.3905970879308378,18,2.31,3.9299999999999997
state-formation,"('Alaska', 'JURASSIC')",0.37560420721783405,0.12453085888670498,18,0.45999999999999996,0.36999999999999994
state-formation,"('North Dakota', 'Upper Bakken')",0.7756493342643661,0.00015519179525215482,18,0.74,0.6599999999999999
state-formation,"('Alaska', 'KAVIK MBR')",-0.4684243676274503,0.05789734278326146,17,2.52,3.8200000000000003
state-formation,"('Alaska', 'KILLIK TONGUE')",0.06213024549459871,0.8191943366859075,16,0.565,0.26999999999999996
state-formation,"('Alaska', 'LEDGE SS MBR')",-0.19661266568483063,0.46549644347304453,16,0.8049999999999999,1.75
state-formation,"('Alaska', 'SIMPSON SD')",-0.19335925000958745,0.473057648825984,16,0.75,1.9900000000000002
state-formation,"('Alaska', 'SIKSIKPUK')",0.27280858676207514,0.3252384436905952,15,1.95,2.79
state-formation,"('Utah', 'HERMOSA')",-0.2517706305344985,0.3852179988479858,14,0.655,1.1099999999999999
state-formation,"('Konduz', 'Suzak')",0.08137938775688605,0.7915565151942578,13,0.98,0.5499999999999999
state-formation,"('Alaska', 'KEMIK SD')",-0.30986683868975945,0.3270050102150108,12,0.54,2.04
state-formation,"('Alaska', 'KUPARUK')",-0.35563600747067675,0.2565787549140527,12,0.52,0.2
state-formation,"('California', 'LOSPE')",-0.014059775667524074,0.9654088887686973,12,1.4049999999999998,0.9000000000000001
state-formation,"('Alaska', 'OKPIKRUAK?')",-0.07692307692307693,0.8121826980280591,12,2.185,3.8200000000000003
state-formation,"('Alaska', 'ENDICOTT GP')",-0.23112188659465455,0.49411635985024416,11,0.82,1.99
state-formation,"('Alaska', 'Kingak')",0.4787878787878787,0.1615229280174558,10,1.615,0.97
state-formation,"('Alaska', 'FIRE CREEK MBR')",-0.6079055436800646,0.06225488170893071,10,1.885,2.98
state-formation,"('Alaska', 'Unknown')",0.4390243902439025,0.20431339358148445,10,0.46,0.37
state-formation,"('Colorado', 'DAKOTA J')",0.9128709291752768,0.0005898392224376347,9,0.72,0.78
state-formation,"('Alaska', 'TERTIARY')",-0.3445378151260505,0.36388943544986474,9,0.52,0.37
state-formation,"('Alaska', 'ECHOOKA FM')",-0.15,0.7000942309691419,9,2.4,3.17
state-formation,"('Utah', 'BLACKHAWK')",0.8870370532810664,0.0014260236511493699,9,0.58,0.24
state-formation,"('Iowa', 'CHEROKEE')",0.7725393039369071,0.014674113128313068,9,0.38,0.15000000000000002
state-formation,"('California', 'RINCON')",0.3504401507250709,0.3551730872273094,9,0.25,0.68
state-formation,"('Alaska', 'Red Glacier Formation')",-0.47699162299076214,0.19417917606506618,9,2.01,0.8700000000000001
state-formation,"('Alaska', 'Gilead')",-0.11904761904761905,0.7788857260523797,8,1.245,1.2999999999999998
state-formation,"('Alaska', 'DEVONIAN?')",-0.17964393928698885,0.6703442772469386,8,2.56,3.7199999999999998
state-formation,"('Alaska', 'HUNT FORK SHALE')",0.3952166664313755,0.33251710793382766,8,2.955,3.9800000000000004
state-formation,"('Alaska', 'KEKIKTUK')",-0.6666666666666669,0.07098765432098751,8,4.515000000000001,3.9699999999999998
state-formation,"('Alaska', 'SABINE LAKE')",0.7857142857142858,0.020815127253525276,8,1.5899999999999999,2.26
state-formation,"('Colorado', 'WILLIAMS FORK')",0.9221722216732094,0.0011108173578061712,8,0.75,0.8699999999999999
state-formation,"('Indiana', 'DUGGER')",0.5185580382410346,0.18794451793355402,8,0.47,0.09000000000000002
state-formation,"('Alaska', 'Brookian')",0.7142857142857144,0.07134356146753759,7,1.1,1.3399999999999999
state-formation,"('Colorado', 'SKULL CREEK')",0.8928571428571429,0.006807187408935393,7,0.7,1.1
state-formation,"('Alaska', 'BLANKENSHIP MBR')",-0.1454785934906616,0.7556330131047917,7,0.4,0.8799999999999999
state-formation,"('Alaska', 'PEBBLE SH UNIT')",0.7500000000000002,0.05218140045705776,7,1.5,1.3
state-formation,"('Alaska', 'Kuskokwim Gp')",-0.28571428571428575,0.5345092286010406,7,1.27,1.79
state-formation,"('Alaska', 'GILES /SD/')",0.5357142857142858,0.21521745567801273,7,2.18,1.3
state-formation,"('Alaska', 'TUKTU')",-0.3142857142857143,0.5440932944606414,6,0.565,0.21999999999999997
state-formation,"('California', 'MONTEREY SH')",0.44136741475237473,0.3809392104771887,6,0.43,0.19
state-formation,"('Kentucky', 'BRITT')",0.819688599970537,0.045837141232453256,6,0.995,0.24
state-formation,"('Nebraska', 'MINNELUSA /SD/ SH/')",0.08571428571428573,0.8717434402332361,6,0.345,1.05
state-formation,"('North Dakota', 'Lower Bakken')",-0.20291986247835694,0.699797968157019,6,0.79,0.68
state-formation,"('Alaska', 'Tyonek(?) Formation')",0.1471224715841249,0.7809085271647664,6,0.25,0.09
state-formation,"('Alaska', 'Chinitna Formation')",0.14494275891311212,0.7841083696021082,6,0.475,0.38999999999999996
state-formation,"('Alaska', 'SHALE WALL MBR')",-0.15389675281277312,0.8048288166080632,5,0.47,0.11999999999999994
state-formation,"('Alaska', 'REDWOOD')",-0.10259783520851541,0.8695979205185651,5,0.57,0.07999999999999996
state-formation,"('Alaska', 'KUKPOWRUK')",0.8720815992723809,0.05385421772754211,5,0.87,0.18000000000000005
state-formation,"('Alaska', 'CRETACEOUS UNCONFORMITY')",-0.7,0.1881204043741873,5,0.59,0.5900000000000001
state-formation,"('Alaska', 'KOGOSUKRUK TONGUE')",0.6488856845230502,0.2361536773866406,5,0.48,0.07
state-formation,"('Alaska', 'Ds')",-0.8885233166386386,0.043924952533494,5,4.17,0.6100000000000003
state-formation,"('Illinois', 'CARBONDALE /GROUP/')",0.6,0.28475697986529375,5,0.44,0.3
state-formation,"('Texas', 'Boquillas Fm (Eagle Ford Shale)')",0.28867513459481287,0.6376180914006018,5,0.65,0.4099999999999999
state-formation,"('Montana', 'Upper Bakken')",0.8207826816681234,0.08858700531354378,5,0.72,0.4
