map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-42,"2,820","2,830",Thermopolis,20.91,430,0.21,2.14,2.35,0.70,0.09,3,1.41,3.92,152,50,15,E181009-042
18,4902505247,J.R. Hatch,1 Govt.,42.52922,-106.631282,30N,82W,35,ne nw,Sixth Principal,"5,774",KB,WRB-2018-43,530,560,Mowry,0.75,432,0.37,5.09,5.46,0.59,0.07,9,2.23,2.32,228,26,17,E181014-001
18,4902505247,J.R. Hatch,1 Govt.,42.52922,-106.631282,30N,82W,35,ne nw,Sixth Principal,"5,774",KB,WRB-2018-44,640,670,Mowry,4.00,428,0.58,9.35,9.93,0.70,0.06,13,2.87,3.35,326,24,20,E181014-002
19,4902520638,Aladdin Pet. Co.,2 Federal,42.54761,-106.665,30N,82W,21,sw se,Sixth Principal,"5,531",KB,WRB-2018-45,300,330,Mowry,0.00,430,0.54,8.66,9.20,0.54,0.06,16,2.67,2.67,324,20,20,E181014-003
19,4902520638,Aladdin Pet. Co.,2 Federal,42.54761,-106.665,30N,82W,21,sw se,Sixth Principal,"5,531",KB,WRB-2018-46,340,370,Mowry,2.67,426,0.62,12.80,13.42,0.72,0.05,18,3.26,3.58,392,22,19,E181014-004
19,4902520638,Aladdin Pet. Co.,2 Federal,42.54761,-106.665,30N,82W,21,sw se,Sixth Principal,"5,531",KB,WRB-2018-47,390,410,Mowry,5.83,426,0.51,12.09,12.60,0.67,0.04,18,3.34,4.04,361,20,15,E181014-005
20,4902505301,Chicago Corp.,Tysor 1-B,42.62879,-106.77739,31N,83W,28,se ne,Sixth Principal,"6,658",KB,WRB-2018-48,"2,390","2,400",Mowry,4.50,424,0.58,10.25,10.83,0.43,0.05,24,2.80,3.34,366,15,21,E181014-006
20,4902505301,Chicago Corp.,Tysor 1-B,42.62879,-106.77739,31N,83W,28,se ne,Sixth Principal,"6,658",KB,WRB-2018-49,"2,420","2,425",Mowry,2.33,427,0.65,8.32,8.97,0.48,0.07,17,2.81,3.09,296,17,23,E181014-007
20,4902505301,Chicago Corp.,Tysor 1-B,42.62879,-106.77739,31N,83W,28,se ne,Sixth Principal,"6,658",KB,WRB-2018-50,"2,440","2,445",Mowry,2.67,426,0.49,7.56,8.05,0.34,0.06,22,2.57,2.89,294,13,19,E181014-008
20,4902505301,Chicago Corp.,Tysor 1-B,42.62879,-106.77739,31N,83W,28,se ne,Sixth Principal,"6,658",KB,WRB-2018-51,"2,465","2,470",Shell Creek,3.00,427,0.51,5.99,6.50,0.43,0.08,14,2.48,2.84,241,17,21,E181014-009
