l,llcl_muK2
910,3143.5802
911,3112.1011
912,3080.7728
913,3049.6171
914,3018.6557
915,2987.9101
916,2957.4015
917,2927.1510
918,2897.1792
919,2867.5066
920,2838.1533
921,2809.1392
922,2780.4838
923,2752.2062
924,2724.3253
925,2696.8594
926,2669.8265
927,2643.2444
928,2617.1301
929,2591.5006
930,2566.3721
931,2541.7605
932,2517.6813
933,2494.1494
934,2471.1792
935,2448.7847
936,2426.9793
937,2405.7760
938,2385.1872
939,2365.2246
940,2345.8997
941,2327.2232
942,2309.2053
943,2291.8556
944,2275.1831
945,2259.1964
946,2243.9033
947,2229.3111
948,2215.4266
949,2202.2558
950,2189.8042
951,2178.0767
952,2167.0776
953,2156.8107
954,2147.2788
955,2138.4846
956,2130.4298
957,2123.1157
958,2116.5429
959,2110.7113
960,2105.6205
961,2101.2691
962,2097.6554
963,2094.7769
964,2092.6307
965,2091.2131
966,2090.5200
967,2090.5465
968,2091.2873
969,2092.7365
970,2094.8876
971,2097.7335
972,2101.2667
973,2105.4789
974,2110.3616
975,2115.9055
976,2122.1008
977,2128.9374
978,2136.4045
979,2144.4909
980,2153.1849
981,2162.4744
982,2172.3466
983,2182.7887
984,2193.7870
985,2205.3277
986,2217.3964
987,2229.9785
988,2243.0588
989,2256.6219
990,2270.6520
991,2285.1329
992,2300.0482
993,2315.3811
994,2331.1145
995,2347.2311
996,2363.7132
997,2380.5430
998,2397.7023
999,2415.1729
1000,2432.9362
1001,2450.9734
1002,2469.2658
1003,2487.7943
1004,2506.5397
1005,2525.4827
1006,2544.6039
1007,2563.8838
1008,2583.3028
1009,2602.8413
1010,2622.4796
1011,2642.1981
1012,2661.9771
1013,2681.7968
1014,2701.6376
1015,2721.4798
1016,2741.3039
1017,2761.0905
1018,2780.8200
1019,2800.4732
1020,2820.0309
1021,2839.4741
1022,2858.7839
1023,2877.9414
1024,2896.9283
1025,2915.7261
1026,2934.3167
1027,2952.6821
1028,2970.8048
1029,2988.6672
1030,3006.2522
1031,3023.5429
1032,3040.5228
1033,3057.1756
1034,3073.4853
1035,3089.4362
1036,3105.0132
1037,3120.2012
1038,3134.9857
1039,3149.3525
1040,3163.2878
1041,3176.7782
1042,3189.8108
1043,3202.3728
1044,3214.4522
1045,3226.0373
1046,3237.1167
1047,3247.6797
1048,3257.7159
1049,3267.2154
1050,3276.1687
1051,3284.5670
1052,3292.4017
1053,3299.6649
1054,3306.3491
1055,3312.4474
1056,3317.9533
1057,3322.8608
1058,3327.1644
1059,3330.8594
1060,3333.9411
1061,3336.4058
1062,3338.2501
1063,3339.4711
1064,3340.0665
1065,3340.0345
1066,3339.3739
1067,3338.0838
1068,3336.1640
1069,3333.6150
1070,3330.4373
1071,3326.6324
1072,3322.2022
1073,3317.1489
1074,3311.4755
1075,3305.1853
1076,3298.2821
1077,3290.7704
1078,3282.6549
1079,3273.9411
1080,3264.6347
1081,3254.7420
1082,3244.2698
1083,3233.2252
1084,3221.6160
1085,3209.4502
1086,3196.7364
1087,3183.4836
1088,3169.7011
1089,3155.3987
1090,3140.5866
1091,3125.2755
1092,3109.4762
1093,3093.2002
1094,3076.4591
1095,3059.2649
1096,3041.6301
1097,3023.5673
1098,3005.0897
1099,2986.2104
1100,2966.9432
1101,2947.3019
1102,2927.3007
1103,2906.9540
1104,2886.2765
1105,2865.2831
1106,2843.9889
1107,2822.4092
1108,2800.5595
1109,2778.4554
1110,2756.1129
1111,2733.5479
1112,2710.7766
1113,2687.8151
1114,2664.6798
1115,2641.3873
1116,2617.9539
1117,2594.3963
1118,2570.7312
1119,2546.9753
1120,2523.1451
1121,2499.2576
1122,2475.3293
1123,2451.3770
1124,2427.4174
1125,2403.4670
1126,2379.5425
1127,2355.6604
1128,2331.8369
1129,2308.0886
1130,2284.4315
1131,2260.8817
1132,2237.4552
1133,2214.1678
1134,2191.0350
1135,2168.0724
1136,2145.2953
1137,2122.7185
1138,2100.3571
1139,2078.2257
1140,2056.3386
1141,2034.7101
1142,2013.3539
1143,1992.2837
1144,1971.5130
1145,1951.0547
1146,1930.9216
1147,1911.1261
1148,1891.6805
1149,1872.5966
1150,1853.8858
1151,1835.5592
1152,1817.6277
1153,1800.1017
1154,1782.9913
1155,1766.3062
1156,1750.0557
1157,1734.2486
1158,1718.8937
1159,1703.9990
1160,1689.5722
1161,1675.6206
1162,1662.1513
1163,1649.1707
1164,1636.6849
1165,1624.6995
1166,1613.2197
1167,1602.2504
1168,1591.7960
1169,1581.8602
1170,1572.4467
1171,1563.5585
1172,1555.1982
1173,1547.3679
1174,1540.0694
1175,1533.3040
1176,1527.0724
1177,1521.3752
1178,1516.2123
1179,1511.5831
1180,1507.4869
1181,1503.9222
1182,1500.8873
1183,1498.3800
1184,1496.3976
1185,1494.9371
1186,1493.9951
1187,1493.5677
1188,1493.6505
1189,1494.2389
1190,1495.3278
1191,1496.9118
1192,1498.9849
1193,1501.5409
1194,1504.5731
1195,1508.0747
1196,1512.0383
1197,1516.4560
1198,1521.3200
1199,1526.6217
1200,1532.3526
1201,1538.5035
1202,1545.0651
1203,1552.0277
1204,1559.3814
1205,1567.1160
1206,1575.2209
1207,1583.6854
1208,1592.4984
1209,1601.6486
1210,1611.1246
1211,1620.9145
1212,1631.0064
1213,1641.3881
